Lista: CDD - CICLO 2024 - LISTA 1 - TRABALHOS PREPARATÓRIOS E TRATAMENTO DE OBJETOS ,,,,,,
N°,Item de Verificação,Peso,Tipo,NA,Orientação,Referência
18,"Após o fechamento da verificação anterior, a unidade elaborou Plano de Ações Corretivas para cada uma das não conformidades e obteve aprovação do gestor? Aspectos: Informação e Prioridade 6. Na primeira avaliação de 2024, considerar a verificação do último semestre de 2023. 7. PONTO DE VERIFICAÇÃO: SAPPPWeb. PERÍODO: Última verificação prevista. AMOSTRA: PAC da verificação anterior. MARGEM DE TOLERÂNCIA: Não há. ",4,N,S,"OBJETIVO DO ITEM: Garantir a atuação sobre as oportunidades de melhoria. FORMA DE AVALIAR: 2. Verificar se: 3. o PAC da verificação anterior foi preenchido corretamente no sistema, conforme o previsto; a) há documento de aprovação do PAC por instância superior em SEI único por GERAE; b) as não conformidades apontadas na verificação anterior foram corrigidas. 4. Considerar este item Conforme se: a) houver itens reincidentes, cujas ações estejam dentro prazo estabelecido no PAC, desde que devidamente comprovadas pela unidade através de registros e/ou documentos; b) o PAC for confeccionado fora do sistema, somente com a autorização do coordenador nacional da PPP, desde que dentro do prazo previsto; c) a unidade obteve 100% de conformidade dos itens na verificação anterior. 4. Considerar Não se Aplica caso seja a primeira avaliação da unidade, após a instalação. 5. Considerar Não Conforme caso a unidade não tenha realizado a verificação anterior prevista. ",MANPOC 6/2 Caderno de Critérios PPP 
"Lista: CDD - CICLO 2024 - LISTA 3 - COLETA, EXPEDIÇÃO E REFUGO ",,,,,,
N°,Item de Verificação,Peso,Tipo,NA,Orientação,Referência
1,Os objetos em devolução são tratados conforme o previsto? Aspectos: Informação e Prioridade ,4,N,N,"FORMA DE AVALIAR: 1. Verificar se os objetos em devolução receberam o tratamento conforme o previsto ( carimbação e anotações, etc.) 2. Considerar Conforme se a expedição for feitano dia seguinte nas unidades com Entrega Matutina com Primeira Triagem/TD à tarde. PONTO DE VERIFICAÇÃO: Área de expedição. PERÍODO: No dia anterior e nos dias da verificação. AMOSTRA: 20 objetos simples ou todos caso a quantidade for menor que 20; 50 objetos qualificados ou todos quando a quantidade for menor que 50. MARGEM DE TOLERÂNCIA: Para os objetos simples: 01 objeto;Para os objetos qualificados: Não há. ",MANDIS 3/1anexos 2 e 3 
2,A coleta dos objetos é realizada conforme previsto? Aspectos: Segurança e Informação ,2,N,S,OBJETIVO DO ITEM: Garantir o cumprimento das regras de negócio previstas para cada serviço. FORMA DE AVALIAR: 1. Verificar se as coletas foram realizadas de acordo com o previsto. 2. Considerar Não Conforme caso sejam identificados pares de encomendas com informação de coleta e entrega que caracterizem a falta de simultaneidade. 3. Considerar NA caso não haja ocorrência no período verificado ou a unidade não realize o serviço. PONTO DE VERIFICAÇÃO: Salão operacional e sistemas. PERÍODO: No mês da verificação e no mês anterior. AMOSTRA: Todos os objetos da pesquisa. MARGEM DE TOLERÂNCIA: Não há ,MANDIS 3/2 Cartilha 5Ps 
3,Os objetos em devolução e os coletados são expedidos conforme previsto? Aspecto: Produtividade e Informação ,2,N,S,"OOBJETIVO DO ITEM: Facilitar/agilizar a operação seguinte. FORMA DE AVALIAR: 1. Solicitar ao gestor que apresente o Plano de Expedição definido pela Centralizadora e confrontar com o Plano solicitado previamente para a Centralizadora. 2. Comparar o etiquetamento do móvel/unitizadores: a) com o Plano de Expedição definido pela Centralizadora; b) com os objetos já triados. 3. Consultar no sistema de CIE Eletrônica, por meio do relatório CIE recebidas por unidade de destino, se há ocorrência por Descumprimento do Plano de Expedição e/ou Devolução Indevida do CEDO. 4. Considerar Não Conforme se forem observados objetos destinados a refugo e entrega interna triados junto aos objetos em devolução, inclusive CEDO. PONTO DE VERIFICAÇÃO: Sistema CIE e móvel de triagem/unitizador. PERÍODO: Nos dias da verificação e os últimos 30 dias. MOSTRA: CIEs do período e 10% dos objetos para expedição. MARGEM DE TOLERÂNCIA: Não há. ",MANDIS 2/4 
Lista: CDD - CICLO 2024 - LISTA 4 - PRESTAÇÃO DE CONTAS E BAIXA ,,,,,,
N°,Item de Verificação,Peso,Tipo,NA,Orientação,Referência
1,A prestação de contas está sendo realizada conforme o previsto? Aspectos: Informação e Prioridade ,4,N,N,OBJETIVO DO ITEM: Garantir a correta execução do processo. FORMA DE AVALIAR: 1. Verificar se a baixa é realizada no mesmo dia da entrega (inclusive interna) ou da tentativa e se são cumpridos todos os procedimentos previstos. PONTO DE VERIFICAÇÃO: SRO e Salão Operacional.. PERÍODO: Nos dias da verificação.AMOSTRA: Todos os distritos. MARGEM DE TOLERÂNCIA: Não há. ,MANDIS 2/4 anexo 2 MANDIS 3/1 anexo 3 
2,"As imagens e informações dos objetos registradas no SRO estão de acordo com o previsto? Aspectos: Informação e Prioridade e) a informação ENTREGUE e o horário para aqueles objetos registrados que dispensem assinatura; f) motivo de não entrega conforme abreviatura prevista ou anotações por extenso. g) caso os objetos sejam para o mesmo endereço, mas não estejam agrupados, deve haver uma assinatura para cada objeto. PONTO DE VERIFICAÇÃO: SRO e Arquivo de LOEC. PERÍODO: 01 dia entre os últimos 30 dias (incluindo os dias da verificação). AMOSTRA: Todas as LOEC impressas e 01 objeto por distrito com SRO móvel. MARGEM DE TOLERÂNCIA: Não há. ",4,N,N,"OBJETIVO DO ITEM: Garantir a correta informação ao cliente. FORMA DE AVALIAR: 1. Nos distritos com SRO Móvel rastrear os objetos e observar se: a) a qualidade das imagens permite identificação dos dados conforme o previsto; b) há assinatura legível do recebedor, quando previsto; c) caso alguma assinatura esteja ilegível, nome e pelo menos um sobrenome; d) há o número do documento de identificação do recebedor, quando previsto; e) caso os objetos sejam para o mesmo endereço, mas não estejam agrupados, deve haver uma assinatura e uma imagem distintas para cada objeto. 2. Caso o distrito tenha saído com LOEC impressa observar, após o conferente, se estão anotados nas LOEC: a) assinatura legível do recebedor, quando previsto; b) caso alguma assinatura esteja ilegível, nome e pelo menos um sobrenome; c) havendo carimbo com o nome do recebedor/responsável, é necessária a rubrica/assinatura do recebedor; d) número do documento do recebedor e horário da entrega, quando previsto ",MANDIS 3/1 Anexo 3 
3,Os telegramas foram corretamente baixados? Aspectos: Informação e Prioridade ,4,N,N,"OBJETIVO DO ITEM: Garantir a qualidade na prestação do serviço. FORMA DE AVALIAR: 1. Verificar se: a) foram realizadas as baixas no SRO no mesmo dia da entrega ou da tentativa. 2. Considerar Não Conforme se: a) o SGM retornar pesquisa com telegramas pendentes de baixa sem que todas as tentativas de entrega previstas estejam registradas no SRO; b) houver registro indevido no SGM de tentativa de entrega ou qualquer evento que tenha ocasionado a pendência de baixa. 3. Considerar NA se a unidade não entregar telegramas. PONTO DE VERIFICAÇÃO: SRO PERÍODO: Mês anterior ao da verificação (ex.: se o mês de verificação for março, pesquisar as pendências de fevereiro). AMOSTRA: 100% dos telegramas. MARGEM DE TOLERÂNCIA: Não há. ",MANDIS 2/4 MANDIS 2/4 anexo 2 MANCAT 9/1 anexo 2 Cartilha 5Ps 
4,"Os AR, comprovantes e recibos de coleta são preenchidos conforme o previsto? Aspectos: Informação e Prioridade 4. Documentos de Coleta Agendada, Programada e Logística Reversa: deve constar o motivo por extenso. PONTO DE VERIFICAÇÃO: Arquivo de LEM, LCM, ARs, comprovantes e recibos de Coleta. PERÍODO: 01 dia entre os últimos 30 dias incluindo os dias da verificação. AMOSTRA: Todas as listas. MARGEM DE TOLERÂNCIA: Não há. ",4,N,N,"OBJETIVO DO ITEM: Garantir a correta informação ao cliente. FORMA DE AVALIAR: 2. Observar, após o conferente, se estão anotados nas LEM, LCM, AR, comprovantes, recibos e documentos de Coleta (Agendada, Programada e Logística Reversa): a) assinatura legível do recebedor, quando previsto; b) assinatura da pessoa responsável por disponibilizar o malote ao carteiro; c) havendo carimbo com o nome do recebedor/responsável, é necessária a rubrica/assinatura do recebedor; d) caso alguma assinatura esteja ilegível, nome e pelo menos um sobrenome; e) número do documento do recebedor e horário da entrega, quando previsto; f) caso os objetos sejam para o mesmo endereço, mas não estejam agrupados, deve haver uma assinatura para cada objeto. 2. LEM e LCM: é exigida a anotação do respectivo código do motivo. No caso do código C, deverá constar o nome e pelo menos um sobrenome do informante. 3. LCM: deve constar o número do malote para cada percurso da lista. ",MANDIS 3/1 anexos 2 e 3 
5,A baixa dos Malotes no SIGMA é feita conforme o previsto? Aspectos: Informação e Prioridade ,4,N,S,"OBJETIVO DO ITEM: Garantir a correta informação aos clientes. FORMA DE AVALIAR: 1. No dia da verificação, observar no procedimento de baixa no SIGMA: a) a leitura direta dos Malotes não entregues; b) a leitura dos malotes na rotina exportação do SIGMA no mesmo dia da realização da coleta ou até a madrugada do dia seguinte quando a leitura for realizada pelo Centralizador; c) a realização da baixa no mesmo dia da entrega/coleta (inclusive interna) ou da tentativa; d) considerar Conforme a baixa no dia seguinte do percurso que não teve malote coletado. 2. Considerar Não Conforme se a baixa no SIGMA estiver diferente do que consta na LCM/LEM. 3. Considerar NA para unidades que não realizam o serviço. PONTO DE VERIFICAÇÃO: No sistema SIGMA, arquivos de LCMs e LEMs. PERÍODO: 2 dias entre os 30 dias anteriores, exceto o dia anterior aos da verificação. AMOSTRA: Todas as LEM/LCM. MARGEM DE TOLERÂNCIA: Não há. ",MANDIS 2/4 anexo 2 MANDIS 3/1 anexo 3 
6,"Os objetos simples e qualificados com chancela de devolução eletrônica (CEDO) são baixados conforme o previsto? Aspectos: Informação, Produtividade e Prioridade ",5,N,N,"OBJETIVO DO ITEM: Garantir a correta execução dos procedimentos previstos para o serviço e informação aos clientes. FORMA DE AVALIAR: 1. Verificar imediatamente após a baixa e antes do refugo se: a) os objetos são tratados conforme o previsto; b) os motivos de baixa no sistema estão de acordo com as anotações nos objetos; c) na carga em devolução há objetos CEDO sendo devolvido indevidamente. 2. Solicitar o relatório do CEDO ao gestor regional ou acessar diretamente e consultar objetos aleatoriamente para verificar se foi baixado conforme anotação.. PONTO DE VERIFICAÇÃO: Sistema CEDO/SRO, área de tratamento de objetos em devolução e objetos CEDO. PERÍODO: Nos dias da verificação e mês anterior. AMOSTRA: No mínimo 50 objetos ou todos quando a quantidade for inferior a 50 e relatório do mês anterior. MARGEM DE TOLERÂNCIA: Não há. ",MANDIS 2/4 anexo 2 MANDIS 3/1 anexo 3 
7,No retorno dos carteiros à unidade é verificado se há resto de distribuição? Aspectos: Informação e Segurança ,2,N,N,"OBJETIVO DO ITEM: Aumentar o controle na ocorrência de resto de objetos simples e qualificados. FORMA DE AVALIAR: 1. Observar se o gestor ou pessoa por ele designada verifica as bolsas, baús de motos e veículos. 2. A verificação da bolsa deve ser feita de imediato no retorno do carteiro à unidade. 3. A verificação de motos e veículos poderá ser feita ao final do dia. 4. Verificar se a quantidade de malas que retornaram confere com quantidade de DAs lançados no SGPD. 5. Para os veículos que não permanecem na unidade a verificação deve ser feita no momento da chegada do carteiro. PONTO DE VERIFICAÇÃO: Salão Operacional, SGPD e área de guarda ou estacionamento de veículos. PERÍODO: Nos dias da verificação. AMOSTRA: 20% dos distritos. MARGEM DE TOLERÂNCIA: Não há. ",MANDIS 2/1 anexo 3 
8,"Os objetos, que por algum motivo permanecerão na unidade, são armazenados de forma a preservar sua segurança? Aspecto: Segurança ",1,N,N,"OBJETIVO DO ITEM: Evitar o extravio e garantir a integridade dos objetos. FORMA DE AVALIAR: 1. Verificar se: a) as encomendas (envelopes e pacotes) e os malotes foram guardados em unitizador lacrado, armário/equipamento/local fechado de forma a preservar a sua segurança; b) nas unidades com CFTV, a carga é posicionada em local captado constantemente pelas câmeras.PONTO DE VERIFICAÇÃO: Local definido para a guarda dos objetos. PERÍODO: Nos dias da verificação. AMOSTRA: 100% dos objetos. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 
Lista: CDD - CICLO 2024 - LISTA 5 - GESTÃO DA FROTA ,,,,,,
N°,Item de Verificação,Peso,Tipo,NA,Orientação,Referência
1,Os veículos sob a guarda da unidade são trancados e suas chaves são guardadas conforme previsto? Aspecto: Segurança ,1,N,N,"OBJETIVO DO ITEM: Garantir a segurança patrimonial. FORMA DE AVALIAR: 1. Verificar se os veículos sob responsabilidade da unidade estão trancados, inclusive os baús das motocicletas e o compartimento de carga para os veículos. 2. Verificar se existe claviculário ou local restrito para guarda das chaves conforme previsto e se este é trancado após o término das atividades. 3. Entendese por local restrito para guarda das chaves um ponto seguro utilizado para esta finalidade. PONTO DE VERIFICAÇÃO: Local de guarda dos veículos e das chaves. PERÍODO: Nos dias da verificação. AMOSTRA: No mínimo 20% dos veículos, até o máximo de 30 veículos. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 MANTRA 4/4 MANTRA 6/5 anexo 2 
2,"Todos os veículos estão com os pneus calibrados? Aspectos: Segurança e Produtividade. PERÍODO: Nos dias da verificação. AMOSTRA: Todos os veículos no pátio, exceto aqueles em processo de alienação, para a verificação in loco; dois veículos para aferição de calibragem. MARGEM DE TOLERÂNCIA: Não há. ",2,N,N,"OBJETIVO DO ITEM: Garantir o desempenho e a segurança da frota. FORMA DE AVALIAR: 1. Verificar in loco se algum dos veículos disponíveis no pátio da unidade está com pneu baixo (vazio), inclusive o estepe. 2. Caso nenhum pneu esteja baixo, aferir a calibragem de dois veículos, preferencialmente que não tenham rodado no dia da verificação. 3. Considerar Conforme caso: a) a calibragem dos pneus da amostra esteja de acordo com a tabela de calibragem. b) não haja pneu baixo e não seja previsto calibrador devido ao tipo de unidade ou não haja calibrador em funcionamento por motivos alheios à unidade (problemas estruturais, impossibilidade de manutenção etc.) com a devida comprovação (OS no helpdesk, SEI etc.). c) o veículo selecionado tiver rodado no dia da verificação e a calibragem esteja até quatro libras acima do previsto na tabela. PONTO DE VERIFICAÇÃO: Área do CDD/CEE. PERÍODO: Nos dias da verificação. AMOSTRA: Todos os veículos. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 MANTRA 11/5 
3,São cumpridos os procedimentos de entrega e liberação dos veículos para os condutores? Aspectos: Segurança e Produtividade ,2,N,N,OBJETIVO DO ITEM: Garantir o cumprimento da legislação vigente. FORMA DE AVALIAR: 1. Verificar se o gestor realiza: a) a entrega da chave do veículo; b) a conferência da CNH em relação a categoria e validade. 2. Verificar se o condutor realiza: a) a vistoria dos veículos pelo Checklist do RDVO; b) a verificação da existência do documento no veículo/baú da moto. 3. Considerar Conforme caso o condutor registre no RDVO as irregularidades constatadas. PONTO DE VERIFICAÇÃO: Local de entrega das chaves. PERÍODO: Nos dias da verificação. AMOSTRA: 10% dos veículos arredondando para cima. MARGEM DE TOLERÂNCIA: Não há. ,MANORG 11/6 e 7 MANTRA 4/4 
4,"Os dados dos RDVOs das linhas próprias da unidade são lançados conforme previsto? Aspectos: Informação, Segurança e Produtividade ",3,N,N,OBJETIVO DO ITEM: Garantir controle da manutenção preventiva na quilometragem prevista. FORMA DE AVALIAR: 1. Verificar no Correios Frota se as quilometragens foram: a) digitadas corretamente; b) lançadas no momento da partida e do retorno. PONTO DE VERIFICAÇÃO: Veículos e Correios Frota. PERÍODO: Os últimos 7 dias incluindo os dias da verificação. AMOSTRA: 100% dos lançamentos no período e dados de hodômetro de 10 veículos ou todos se a quantidade for menor que 10. MARGEM DE TOLERÂNCIA: Não há. ,MANORG 11/6 e 7 MANTRA 4/4 anexo 2 
5,"Os veículos são abastecidos de forma a serem recolhidos com, no mínimo, a metade da capacidade do tanque? Aspectos: Segurança e Produtividade ",2,N,N,OBJETIVO DO ITEM: Garantir a disponibilidade da frota. FORMA DE AVALIAR: Observar durante o período avaliativo se os veículos estão abastecidos conforme definido. PONTO DE VERIFICAÇÃO: Local de guarda dos veículos e pátio de trânsito dos veículos. PERÍODO: Nos dias da verificação. AMOSTRA: 20% do total de veículos lotados na unidade. MARGEM DE TOLERÂNCIA: Não há. ,MANTRA 9/1 MANTRA 4/4 
6,É realizado o atesto dos abastecimentos dos veículos da Unidade? Aspecto: Informação ,1,N,N,OBJETIVO DO ITEM: Comprovação dos abastecimentos para pagamento da fatura à gerenciadora. FORMA DE AVALIAR: 1. Verificar no ERP se não há pendência de atesto da utilização do abastecimento. 2. Considerar Não Conforme se houver abastecimentos pendentes de atesto no ERP; PONTO DE VERIFICAÇÃO: ERP PERÍODO: Quinzena anterior à verificação (01 a 15 ou 16 a 31). AMOSTRA: Todos os abastecimentos. MARGEM DE TOLERÂNCIA: 5%. ,MANORG 11/6 e 7 MANTRA 9/1 
7,"Os veículos são levados para manutenção preventiva conforme programação do CTO? Aspectos: Produtividade, Segurança e Prioridade ",5,N,N,OBJETIVO DO ITEM: Garantir o cumprimento das manutenções preventivas no prazo. FORMA DE AVALIAR: 1. Verificar a programação de manutenção preventiva enviada pelo CTO. 2. Consultar nas RSE se os veículos informados foram entregues no estabelecimento credenciado indicado pelo CTO na data agendada para manutenção. PONTO DE VERIFICAÇÃO: Arquivos da unidade e Correios Frota. PERÍODO: 15 dias dentre os 30 dias anteriores à verificação. AMOSTRA: 100% das manutenções preventivas previstas. MARGEM DE TOLERÂNCIA: 5% das manutenções preventivas previstas. ,MANORG 11/6 e 7 MANTRA 11/3 
8,A Requisição de Serviço Externo (RSE) é preenchida e encaminhada ao CTO conforme previsto? Aspectos: Informação e Segurança ,2,N,S,"OBJETIVO DO ITEM: Garantir a realização dos serviços solicitados e permitir apuração de possíveis danos aos veículos. FORMA DE AVALIAR: Verificar no sistema Correios Frota a relação das OS finalizadas. 2. Verificar se as RSEs dos veículos foram preenchidas corretamente, incluindo o DOT dos pneus. 3. Verificar no Correios Frota ou no controle da unidade (protocolo de envio físico, SEI etc.) se a unidade encaminhou a RSE preenchida para o CTO em até um dia útil após o recebimento do veículo da oficina. 4. Considerar NA quando os veículos forem levados à oficina pelo CTO. PONTO DE VERIFICAÇÃO: Arquivos da unidade e Correios Frota. PERÍODO: No mês anterior à verificação. AMOSTRA: No mínimo 10% das RSEs do mês anterior, até o máximo de 20 RSEs. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 MANTRA 11/3 
9,"Os veículos que apresentam avarias tem o respectivo processo de apuração, conforme o previsto? Aspectos: Produtividade e Informação ",2,N,N,"OBJETIVO DO ITEM: Garantir disponibilidade da frota e preservar a imagem da Empresa. FORMA DE AVALIAR: 1. Inspecionar a frota visualmente e, caso identifique veículos avariados, solicitar o Registro de Vistoria e/ou o respectivo processo de apuração para os veículos com avarias não ocasionadas por acidente de trânsito. 2. Considerar Não Conforme caso haja veículos avariados sem o respectivo processo de apuração ou Registro de Vistoria. PONTO DE VERIFICAÇÃO: Local de guarda dos veículos e pátio de trânsito dos veículos. PERÍODO: Nos dias da verificação. AMOSTRA: Todos os veículos sob responsabilidade da unidade. MARGEM DE TOLERÂNCIA: 10%. ",MANORG 11/6 e 7 MANPAT 1/2 MANPAT 5/4 
10,O contenitor do veículo Mobi está corretamente instalado? Aspectos: Segurança e Produtividade ,2,N,S,"OBJETIVO DO ITEM: Atender à legislação de trânsito e garantir a segurança da carga. FORMA DE AVALIAR: 1. Verificar em todos os veículos se o contenitor está instalado, funcional e em bom estado de conservação. 2. Considerar NA caso não haja veículos desse modelo na unidade. PONTO DE VERIFICAÇÃO: Local de guarda dos veículos e pátio de trânsito dos veículos. PERÍODO: Nos dias da verificação. AMOSTRA: Todos os veículos Mobi disponíveis. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 MANSEG 3/3 
11,"São realizadas as verificações previstas para as linhas de transporte de carga (LTN, LTR e LTU)? Aspectos: Segurança e Informação ",2,N,S,"OBJETIVO DO ITEM: Garantir a segurança e a assiduidade das linhas de transporte de carga. FORMA DE AVALIAR: 1. Observar se são realizadas as verificações previstas no momento da apresentação/parada do veículo na unidade (conferência, desembarque, embarque e liberação da linha) por tipo da unidade (origem, intermediária e final da linha). 2. Considerar NA para as unidades unidades integradas em Centros de Tratamento (complexo operacional) PONTO DE VERIFICAÇÃO: Área de Carga e Descarga e Portaria (se houver). PERÍODO: Nos dias da verificação. AMOSTRA: Verificar no momento de maior fluxo de linhas (LTN, LTR e LTU) na unidade. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 MANTRA 2/2 MANTRA 3/2 MANTRA 4/2 
12,"Todos os dados relativos ao lançamento das linhas contratadas (LTN, LTR e LTU) são registrados (apontados) no TMS - RDVO Digital, conforme o previsto? Aspecto: Informação ",1,N,S,"OBJETIVO DO ITEM: Garantir o registro correto das informações das linhas de transporte de carga. FORMA DE AVALIAR: 1. Observar se os RDVOs foram preenchidos corretamente (horários de chegada e saída, hodômetros, cargas e ocorrências) conforme o previsto. 2.Desconsiderar as linhas de transferência de carga, executadas com veículo próprio, para as quais deve ser utilizado o Correios Frota. 3.Considerar NA para as unidades unidades integradas em Centros de Tratamento (complexo operacional) PONTO DE VERIFICAÇÃO: RDVO físico ou digital (TMS). PERÍODO: Nos últimos 15 dias anteriores à verificação. AMOSTRA: RDVOs de 2 dias. MARGEM DE TOLERÂNCIA: Não há. ",MANORG 11/6 e 7 MANTRA 2/2 MANTRA 3/2 MANTRA 4/2 Sistema TMS Cartilha 5Ps CTO 
13,A Unidade adotou as ações corretivas apontadas no relatório de visita do CTO? Aspectos: Segurança e Produtividade ,2,N,S,OBJETIVO DO ITEM: Garantir a gestão da frota e o controle da utilização dos recursos de transporte. FORMA DE AVALIAR: 1. Solicitar ao gestor da unidade o número do processo no SEI com o relatório da visita do CTO com a ciência da unidade no semestre anterior e verificar se foram adotadas as ações previstas para cada irregularidade registrada. 2. Considerar Conforme se as ações corretivas estiverem dentro do prazo e registradas no SEI. 3. Considerar NA senão houve a visita do CTO à unidade. PONTO DE VERIFICAÇÃO: Arquivo da unidade e SEI. PERÍODO: Semestre anterior (Janeiro a Junho ou Julho a Dezembro). AMOSTRA: Relatório de visita do CTO. MARGEM DE TOLERÂNCIA: Não há. ,MANORG 11/6 e 7 MANTRA 6/9 MANTRA 6/9 anexo 2  
